first_axis,max_axis,understatement
10.425285904939813,10.425285904939829,1.5987211554602254e-14
10.02242865766526,10.022428657665268,7.105427357601002e-15
9.411417476636196,9.411417476636196,0.0
8.771937049168843,8.771937049168843,0.0
8.205217437383254,8.250795081455399,0.04557764407214471
0.4032678945831236,10.795730243343343,10.392462348760219
7.387491954101321,7.433585157877488,0.04609320377616655
0.6563627500687197,3.0748496531594895,2.41848690309077
0.14650354381983277,0.8378506987019296,0.6913471548820969
1.7375957177466574,2.5329045245101725,0.795308806763515
2.134628822392747,2.1346288223927488,1.7763568394002505e-15
2.297577911102456,2.297577911102456,0.0
2.5083755092371893,2.5083755092371893,0.0
2.503117938221882,2.503117938221882,0.0
2.514819485186701,2.514819485186701,0.0
6.069689360960112,10.549825271895799,4.480135910935687
2.455821779418173,8.813762847055514,6.357941067637341
1.5706051634465013,7.525703996208179,5.955098832761678
6.374867244264976,6.374867244264976,0.0
0.2870796110935885,4.559633315178402,4.272553704084814
1.7054624791629571,1.7054624791629571,0.0
1.4250719622362968,1.667323773533525,0.24225181129722806
1.3534511790313717,5.123465843866981,3.7700146648356094
2.0082428507547188,9.120647441112254,7.112404590357535
3.4434568410885715,12.477357752292221,9.033900911203649
2.16015091798295,13.993384834552629,11.833233916569679
3.1495810641080517,11.990753751442284,8.841172687334232
4.165144130256646,9.759372609013717,5.594228478757071
5.2824347004825984,5.2824347004825984,0.0
4.908901257266604,5.603431808947967,0.6945305516813631
1.9443931103381402,14.632470043896248,12.688076933558108
10.368723924637308,10.368723924637308,0.0
1.3656419034496778,5.954468532060588,4.58882662861091
2.4266576709440586,2.456895813057902,0.03023814211384357
2.6836741160398105,2.6836741160398105,0.0
12.431940055152026,17.139725820822562,4.707785765670536
14.75187059960075,15.835134476289525,1.0832638766887754
10.500920093185954,14.015839440164555,3.5149193469786013
8.624960314131684,11.882311152340137,3.2573508382084526
1.34771187469223,9.407219954742942,8.059508080050712
7.9820918553511575,8.231342105996433,0.24925025064527517
7.064914341443014,7.292730429549408,0.22781608810639398
6.182816374419545,6.348580328175416,0.16576395375587083
5.434346136639903,5.434346136639903,0.0
5.4230877511892,5.4230877511892,0.0
4.9974699793662865,4.9974699793662865,0.0
3.832573134752719,8.980063138864551,5.147490004111832
4.726989496955623,5.28200536907412,0.5550158721184975
5.267621734021956,5.267621734021956,0.0
5.795584712169596,5.795584712169596,0.0
6.471394655563103,8.540109880555121,2.068715224992019
0.27445900238306464,7.065704639028354,6.791245636645289
7.9841472232246105,7.9841472232246105,0.0
