frame,time_s,track_id,class_id,class_name,x_m,y_m
0,0.0,1,5,lcv,37.357297793544056,77.89455221464677
0,0.0,2,0,pedestrian,30.675955975704408,92.1788033282108
0,0.0,3,0,pedestrian,37.41617797912506,74.83284228930042
0,0.0,4,0,pedestrian,30.62019854739375,72.80113886787007
0,0.0,5,0,pedestrian,32.141019732608115,74.27211112042872
0,0.0,6,5,lcv,31.236653016081345,93.20488505522964
0,0.0,7,0,pedestrian,15.781495907993477,93.81244051890913
0,0.0,8,0,pedestrian,16.125887615110535,94.38832473945331
0,0.0,9,6,bus,22.11337900375998,75.15515179379368
0,0.0,10,0,pedestrian,29.70386126133066,71.36180799601378
0,0.0,11,0,pedestrian,15.118235275260934,92.67937449294807
0,0.0,12,0,pedestrian,30.726327500936094,71.6285520449794
0,0.0,13,4,car,13.490415926403362,86.27675795876497
1,0.050027515133323326,2,0,pedestrian,30.73562751575761,91.7962655625936
1,0.050027515133323326,3,0,pedestrian,37.202657317734335,74.90251561134859
1,0.050027515133323326,1,5,lcv,37.13547110974164,78.04271254251435
1,0.050027515133323326,5,0,pedestrian,32.12270339607775,74.18341969467673
1,0.050027515133323326,4,0,pedestrian,30.627612962879894,72.74413574950074
1,0.050027515133323326,6,5,lcv,31.26732173468313,92.87164590029018
1,0.050027515133323326,8,0,pedestrian,16.175481650571015,94.37597875647465
1,0.050027515133323326,10,0,pedestrian,29.725662970388164,71.35441491083687
1,0.050027515133323326,7,0,pedestrian,15.803795679771357,93.80281628338741
1,0.050027515133323326,9,6,bus,22.148177270227468,75.65799250343234
2,0.10005503026664665,1,5,lcv,37.04064508705691,78.1716158672148
2,0.10005503026664665,3,0,pedestrian,37.05998741146093,75.13523781710246
2,0.10005503026664665,2,0,pedestrian,30.876407556633797,91.8025025450106
2,0.10005503026664665,5,0,pedestrian,32.11314101845279,74.17156857487205
2,0.10005503026664665,4,0,pedestrian,30.626043052121034,72.7561660439029
2,0.10005503026664665,8,0,pedestrian,16.160920514979484,94.36408497605154
2,0.10005503026664665,9,6,bus,22.070321641561094,75.6581887422772
2,0.10005503026664665,6,5,lcv,31.277515489461116,92.69421185604405
2,0.10005503026664665,10,0,pedestrian,29.757669099378273,71.38726785310315
2,0.10005503026664665,7,0,pedestrian,15.849760363117431,93.81859218008923
3,0.15008254539996999,1,5,lcv,36.92528650871349,78.1848235946861
3,0.15008254539996999,2,0,pedestrian,30.695712108107365,91.3655383623783
3,0.15008254539996999,3,0,pedestrian,36.93126326135796,75.40158512231652
3,0.15008254539996999,5,0,pedestrian,32.115295379684376,74.17323233899151
3,0.15008254539996999,4,0,pedestrian,30.658663494016785,72.80607896748626
3,0.15008254539996999,8,0,pedestrian,16.103336145683816,94.34255842798302
3,0.15008254539996999,6,5,lcv,31.27654282736052,92.53200765258362
3,0.15008254539996999,7,0,pedestrian,15.790644477619507,93.79546159276708
3,0.15008254539996999,9,4,car,22.057892470376466,75.8465012442274
3,0.15008254539996999,11,0,pedestrian,15.14585695919012,92.83041867862268
4,0.2001100605332933,1,5,lcv,36.81766656655641,78.25814866567336
4,0.2001100605332933,3,0,pedestrian,36.83774265359772,75.2451912950886
4,0.2001100605332933,2,0,pedestrian,30.830122918649366,91.3966379532264
4,0.2001100605332933,5,0,pedestrian,32.09308199565885,74.07479722798614
4,0.2001100605332933,4,0,pedestrian,30.634984717747592,72.66907012528083
4,0.2001100605332933,8,0,pedestrian,16.140029610125826,94.35005816470606
4,0.2001100605332933,6,5,lcv,31.27274816534963,92.35583636264353
4,0.2001100605332933,9,6,bus,21.74977615364063,75.48966223516287
4,0.2001100605332933,11,0,pedestrian,15.031579827524336,92.82767133479467
4,0.2001100605332933,7,0,pedestrian,15.824066939142066,93.80076857370193
5,0.25013757566661665,1,5,lcv,36.66436563416593,78.15050739320705
5,0.25013757566661665,6,5,lcv,31.286877362179382,92.02632574575635
5,0.25013757566661665,5,0,pedestrian,32.071037121076195,73.95242951003182
5,0.25013757566661665,2,0,pedestrian,30.832174894396683,91.09545398698826
