agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
929,2616,lcv,pedestrian,ped_veh,agent_a_first,-0.7819,0.3502,4.9047,0.0,2.564,1.25,0.0,0.0,929,2616,pedestrian
929,2619,lcv,lcv,veh_veh,unresolved_conflict_zone,0.588,0.8004,0.0227,0.0,0.7471,,0.31472,0.012368,929,2619,lcv
940,953,pedestrian,auto_rickshaw,ped_veh,agent_b_first,3.0383,1.5008,3.0192,0.05,3.9648,0.95,0.0,0.0,940,953,auto_rickshaw
940,956,pedestrian,lcv,ped_veh,agent_a_first,0.2626,1.5008,0.6838,0.6504,1.033,,0.00368,0.000247,940,956,lcv
940,960,pedestrian,cyclist,ped_veh,agent_a_first,-2.2961,0.1501,1.6718,0.0,1.9342,,0.0,0.0,940,960,cyclist
940,969,pedestrian,motorcycle,ped_veh,agent_a_first,15.2789,0.1001,2.3293,0.0,2.9727,,0.0,0.0,940,969,motorcycle
940,970,pedestrian,car,ped_veh,unresolved_conflict_zone,-3.0162,0.4502,0.1076,0.0,0.7296,1.95,0.00038,3.7e-05,940,970,car
940,2510,pedestrian,car,ped_veh,agent_a_first,1.2032,1.0506,4.5807,0.0,1.5032,2.1,0.0,0.0,940,2510,car
940,2539,pedestrian,lcv,ped_veh,unresolved_conflict_zone,-2.8207,0.2501,0.8772,2.0511,1.0017,1.8,0.00514,0.000345,940,2539,lcv
940,2611,pedestrian,lcv,ped_veh,unresolved_conflict_zone,0.0818,0.1501,1.0858,0.0,0.2419,0.05,0.96321,0.064601,940,2611,lcv
940,2619,pedestrian,lcv,ped_veh,agent_b_first,-1.5026,0.6003,0.6132,0.0,0.2654,0.05,0.48818,0.032742,940,2619,lcv
944,951,pedestrian,cyclist,ped_veh,agent_a_first,2.1596,0.1501,0.4698,0.0,0.6456,,3e-05,6e-06,944,951,cyclist
944,956,pedestrian,lcv,ped_veh,unresolved_conflict_zone,0.7053,1.0006,0.4004,0.0,0.7605,1.05,0.00184,0.000123,944,956,lcv
944,959,pedestrian,motorcycle,ped_veh,agent_a_first,0.9638,0.5503,1.6677,0.0,2.1061,,0.0,0.0,944,959,motorcycle
944,2611,pedestrian,lcv,ped_veh,agent_a_first,0.4382,2.2012,0.9969,0.0,0.4025,,0.31897,0.021393,944,2611,lcv
945,956,pedestrian,lcv,ped_veh,agent_a_first,0.8002,0.4502,0.4976,0.0,0.3973,0.05,0.73503,0.049297,945,956,lcv
945,959,pedestrian,motorcycle,ped_veh,agent_a_first,0.4462,0.5503,0.933,0.05,0.4953,,1e-05,3e-06,945,959,motorcycle
945,960,pedestrian,cyclist,ped_veh,agent_a_first,-6.0413,0.7504,1.3082,0.0,2.1605,0.35,0.0,0.0,945,960,cyclist
945,2539,pedestrian,lcv,ped_veh,unresolved_conflict_zone,-4.6773,1.6009,0.105,0.0,2.6466,0.45,0.05566,0.003733,945,2539,lcv
945,2611,pedestrian,lcv,ped_veh,agent_a_first,0.3914,1.5509,0.9581,0.0,0.0349,0.05,0.93195,0.062504,945,2611,lcv
947,2510,pedestrian,car,ped_veh,agent_a_first,14.8748,0.2001,4.8194,0.0,3.484,0.7,0.0261,0.002532,947,2510,car
951,2526,cyclist,pedestrian,ped_veh,agent_a_first,2.4411,0.4502,0.6944,0.05,0.4242,0.7,0.0,0.0,951,2526,pedestrian
951,2611,cyclist,lcv,cyc_veh,agent_b_first,-0.1606,1.1506,0.3404,0.0,0.7632,0.75,0.15151,0.009665,951,2611,lcv
953,963,auto_rickshaw,pedestrian,ped_veh,agent_a_first,-4.7473,0.2001,2.1788,0.2501,5.7054,,0.0,0.0,953,963,pedestrian
953,973,auto_rickshaw,pedestrian,ped_veh,agent_a_first,1.556,1.2507,1.2799,0.0,1.0651,,0.0,0.0,953,973,pedestrian
953,2596,auto_rickshaw,pedestrian,ped_veh,agent_a_first,-0.8899,3.0017,3.4013,0.2001,5.0207,0.85,0.0,0.0,953,2596,pedestrian
956,2526,lcv,pedestrian,ped_veh,agent_a_first,1.0483,0.7004,0.6154,0.6504,0.481,0.6,0.00835,0.00056,956,2526,pedestrian
956,2539,lcv,lcv,veh_veh,unresolved_conflict_zone,-93.4063,0.1501,0.9654,0.0,2.1847,1.1,0.00861,0.000339,956,2539,lcv
956,2557,lcv,pedestrian,ped_veh,agent_a_first,0.3974,0.6504,2.4432,0.0,1.8857,1.5,0.00013,8e-06,956,2557,pedestrian
956,2611,lcv,lcv,veh_veh,agent_b_first,0.1258,1.5509,0.1813,0.3502,0.4212,0.8,0.2635,0.010355,956,2611,lcv
956,2616,lcv,pedestrian,ped_veh,agent_b_first,-1.4365,0.1501,4.9393,0.0,4.3836,1.85,0.0,0.0,956,2616,pedestrian
959,960,motorcycle,cyclist,cyc_veh,agent_a_first,-3.1576,0.1501,1.7462,0.0,2.073,,0.0,0.0,959,960,cyclist
959,961,motorcycle,pedestrian,ped_veh,agent_b_first,-3.0082,0.7504,27.6815,0.1501,1.9007,,0.0,0.0,959,961,pedestrian
959,2510,motorcycle,car,veh_veh,agent_a_first,2.1142,0.7504,5.51,0.0,3.0838,4.1,1e-05,1e-06,959,2510,car
959,2526,motorcycle,pedestrian,ped_veh,agent_b_first,-1.9821,0.6003,0.844,0.0,0.9744,0.5,0.39385,0.079288,959,2526,pedestrian
959,2527,motorcycle,pedestrian,ped_veh,agent_a_first,25.6325,0.5503,2.8479,0.0,8.0386,,0.0,0.0,959,2527,pedestrian
959,2539,motorcycle,lcv,veh_veh,agent_b_first,-11.9365,0.1501,0.0461,0.9005,1.3915,,0.00023,1.4e-05,959,2539,lcv
959,2557,motorcycle,pedestrian,ped_veh,unresolved_conflict_zone,-3.1626,0.0,0.1143,1.0506,1.7134,1.15,0.0,0.0,959,2557,pedestrian
959,2610,motorcycle,pedestrian,ped_veh,unresolved_conflict_zone,2.2496,0.0,0.1608,0.0,0.7364,,0.0,0.0,959,2610,pedestrian
959,2616,motorcycle,pedestrian,ped_veh,agent_a_first,-5.0464,0.0,2.8498,0.5503,3.1227,,0.0,0.0,959,2616,pedestrian
959,2620,motorcycle,pedestrian,ped_veh,agent_b_first,-2.8145,0.05,5.0167,0.0,2.7519,1.9,0.0,0.0,959,2620,pedestrian
960,961,cyclist,pedestrian,ped_veh,agent_b_first,0.0517,0.2501,0.6353,0.0,0.3666,,0.538,0.117616,960,961,pedestrian
960,2510,cyclist,car,cyc_veh,agent_b_first,0.2948,0.0,0.436,0.0,2.3818,,0.0,0.0,960,2510,car
960,2526,cyclist,pedestrian,ped_veh,agent_b_first,-1.4725,0.05,2.0438,0.0,2.4466,,0.0,0.0,960,2526,pedestrian
960,2539,cyclist,lcv,cyc_veh,unresolved_conflict_zone,-6.8335,0.2001,1.6791,0.05,1.6133,0.15,0.30333,0.01935,960,2539,lcv
960,2596,cyclist,pedestrian,ped_veh,agent_b_first,3.5434,0.1501,1.5107,0.2001,2.4025,,0.0,0.0,960,2596,pedestrian
960,2611,cyclist,lcv,cyc_veh,agent_b_first,1.9437,0.1501,0.6513,0.0,1.8595,1.05,2e-05,1e-06,960,2611,lcv
960,2616,cyclist,pedestrian,ped_veh,agent_b_first,-11.2051,0.05,0.2947,0.3502,1.7635,1.65,0.0,0.0,960,2616,pedestrian
961,2510,pedestrian,car,ped_veh,agent_a_first,0.2917,0.0,0.7263,0.0,1.2011,,0.0,0.0,961,2510,car
961,2539,pedestrian,lcv,ped_veh,agent_a_first,-5.9742,1.1506,1.5648,0.7004,1.9725,2.2,0.00976,0.000655,961,2539,lcv
961,2611,pedestrian,lcv,ped_veh,agent_a_first,2.4704,1.1006,30.945,0.1501,1.7916,1.75,0.0,0.0,961,2611,lcv
963,2510,pedestrian,car,ped_veh,agent_a_first,8.6046,1.0506,7.0411,0.0,3.0258,,0.0,0.0,963,2510,car
964,983,lcv,pedestrian,ped_veh,agent_a_first,-6.0516,0.3502,0.9714,0.0,4.5737,,0.0,0.0,964,983,pedestrian
964,2527,lcv,pedestrian,ped_veh,agent_a_first,-3.8435,1.901,3.2932,0.05,2.0558,0.6,0.05182,0.003476,964,2527,pedestrian
964,2539,lcv,lcv,veh_veh,unresolved_conflict_zone,1.1232,2.5514,0.0743,0.0,0.6375,2.05,0.00688,0.00027,964,2539,lcv
964,2557,lcv,pedestrian,ped_veh,agent_b_first,0.0899,2.2512,1.4658,0.0,1.8434,2.95,0.0,0.0,964,2557,pedestrian
967,2539,pedestrian,lcv,ped_veh,agent_b_first,-0.0624,2.5514,1.6324,0.0,1.6928,2.0,0.00398,0.000267,967,2539,lcv
968,2539,pedestrian,lcv,ped_veh,agent_a_first,-1.7266,1.0506,0.584,0.6504,1.058,,0.00012,8e-06,968,2539,lcv
969,2527,motorcycle,pedestrian,ped_veh,agent_a_first,-15.0097,0.3502,4.3801,0.0,3.0146,,0.26427,0.053202,969,2527,pedestrian
969,2539,motorcycle,lcv,veh_veh,agent_a_first,-1.4932,1.1006,0.4498,0.4502,0.8885,,0.00057,3.6e-05,969,2539,lcv
969,2557,motorcycle,pedestrian,ped_veh,agent_a_first,0.7655,0.1001,0.0007,0.0,1.1566,,0.0,0.0,969,2557,pedestrian
969,2611,motorcycle,lcv,veh_veh,agent_a_first,1.5527,0.4002,0.0777,0.1001,1.3472,,0.08132,0.005106,969,2611,lcv
969,2616,motorcycle,pedestrian,ped_veh,unresolved_conflict_zone,-8.0519,1.0506,0.1249,0.3502,2.7838,,0.0,0.0,969,2616,pedestrian
970,979,car,pedestrian,ped_veh,agent_b_first,0.8878,0.4502,1.4414,0.0,1.8696,,0.0,0.0,970,979,pedestrian
970,2596,car,pedestrian,ped_veh,agent_b_first,0.9356,0.7504,2.3386,0.0,1.8307,1.2,0.0002,1.9e-05,970,2596,pedestrian
973,976,pedestrian,lcv,ped_veh,agent_a_first,-0.6297,0.0,0.1922,0.0,0.8599,0.75,0.0,0.0,973,976,lcv
973,2539,pedestrian,lcv,ped_veh,agent_a_first,-0.501,0.0,0.3124,0.0,0.3835,,0.94769,0.06356,973,2539,lcv
974,976,cyclist,lcv,cyc_veh,unresolved_conflict_zone,-2.1279,0.1501,0.0072,0.1501,0.748,,0.0,0.0,974,976,lcv
974,2557,cyclist,pedestrian,ped_veh,agent_a_first,0.4418,0.8505,0.6101,0.2001,0.3336,0.5,0.10061,0.021995,974,2557,pedestrian
974,2616,cyclist,pedestrian,ped_veh,unresolved_conflict_zone,-1.1143,0.1001,0.0358,0.0,1.0726,1.2,0.0,0.0,974,2616,pedestrian
976,979,lcv,pedestrian,ped_veh,agent_b_first,-3.6725,0.05,0.9865,0.0,0.5729,,0.44255,0.029681,976,979,pedestrian
976,2539,lcv,lcv,veh_veh,agent_a_first,4.7684,0.6003,3.7572,0.6504,1.022,4.4,0.00792,0.000311,976,2539,lcv
976,2557,lcv,pedestrian,ped_veh,agent_a_first,7.5316,0.2001,23.4646,0.1501,1.0134,1.85,0.00113,7.6e-05,976,2557,pedestrian
