agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class,pattern
1047,2635,truck,car,veh_veh,agent_a_first,-2.1047,1.9511,0.0863,0.0,0.3911,0.05,0.12276,0.005122,1047,2635,car,Unclear Advantage
1047,2722,truck,pedestrian,ped_veh,agent_b_first,-0.1179,0.0,0.8801,0.2001,1.4885,,0.0,0.0,1047,2722,pedestrian,Chaotic Negotiation
1050,1060,pedestrian,lcv,ped_veh,agent_b_first,-0.3668,1.9511,2.2783,0.0,2.021,1.7,0.0,0.0,1050,1060,lcv,Unclear Advantage
1050,1074,pedestrian,lcv,ped_veh,unresolved_conflict_zone,2.5548,0.1501,0.2271,0.0,0.4798,0.05,0.88639,0.059449,1050,1074,lcv,Unknown
1053,1060,pedestrian,lcv,ped_veh,agent_b_first,-6.0902,2.9016,4.4597,0.7504,2.1385,,0.59589,0.039965,1053,1060,lcv,Unclear Advantage
1060,1062,lcv,lcv,veh_veh,agent_b_first,-1.2234,0.9005,0.9379,0.0,0.1497,,0.13191,0.005184,1060,1062,lcv,Unclear Advantage
1060,1066,lcv,pedestrian,ped_veh,agent_b_first,-13.9408,0.1001,1.9337,0.8505,1.8039,,0.0,0.0,1060,1066,pedestrian,Contested Non-Yielding
1066,1074,pedestrian,lcv,ped_veh,agent_b_first,3.6847,1.1506,0.9278,0.2501,1.1429,3.3,0.0014,9.4e-05,1066,1074,lcv,Unclear Advantage
1074,1085,lcv,lcv,veh_veh,unresolved_conflict_zone,-0.3764,2.0511,0.31,0.0,0.9392,0.8,0.01488,0.000585,1074,1085,lcv,Unclear Advantage
1074,2725,lcv,pedestrian,ped_veh,agent_a_first,0.1447,0.2001,0.3778,0.0,0.6066,0.9,0.05388,0.003613,1074,2725,pedestrian,Unclear Advantage
1074,2741,lcv,pedestrian,ped_veh,agent_a_first,-503.0139,0.1001,2.6334,0.3002,5.2349,1.3,0.0,0.0,1074,2741,pedestrian,Late Pedestrian Surge
1074,3177,lcv,pedestrian,ped_veh,agent_a_first,-0.9767,0.2501,0.1271,0.0,0.3235,0.05,0.81768,0.054841,1074,3177,pedestrian,Unclear Advantage
1085,1087,lcv,lcv,veh_veh,agent_a_first,0.0414,2.3513,0.0464,0.0,0.629,0.05,0.23385,0.00919,1085,1087,lcv,Unclear Advantage
1085,2725,lcv,pedestrian,ped_veh,agent_a_first,1.1914,0.5503,0.813,0.4502,0.5484,0.35,0.2723,0.018263,1085,2725,pedestrian,Unclear Advantage
1085,2736,lcv,pedestrian,ped_veh,agent_a_first,1.2906,0.1001,2.2562,0.0,0.8645,0.8,0.03941,0.002643,1085,2736,pedestrian,Chaotic Negotiation
1085,2741,lcv,pedestrian,ped_veh,agent_b_first,-5.618,0.0,0.8134,0.0,2.3137,,0.0,0.0,1085,2741,pedestrian,Chaotic Negotiation
1085,3173,lcv,pedestrian,ped_veh,agent_a_first,1.1297,1.4008,3.8467,0.6003,3.1037,1.45,0.0,0.0,1085,3173,pedestrian,Unclear Advantage
1087,1092,lcv,cyclist,cyc_veh,agent_b_first,0.2561,1.2507,1.3163,0.0,0.8658,,0.01339,0.000854,1087,1092,cyclist,Unclear Advantage
1087,1094,lcv,cyclist,cyc_veh,agent_b_first,-2.5946,2.1512,1.0591,0.0,0.6555,,0.00131,8.3e-05,1087,1094,cyclist,Gap-Forced Merge
1087,1098,lcv,cyclist,cyc_veh,agent_a_first,-0.6018,1.1006,0.5547,0.5503,0.603,0.45,0.0,0.0,1087,1098,cyclist,Unclear Advantage
1087,1100,lcv,cyclist,cyc_veh,agent_a_first,-0.5339,2.1012,0.3674,0.6003,0.8436,1.05,0.0,0.0,1087,1100,cyclist,Unclear Advantage
1087,2725,lcv,pedestrian,ped_veh,agent_a_first,0.4877,1.851,3.7941,1.7009,1.0575,0.4,0.31867,0.021373,1087,2725,pedestrian,Unclear Advantage
1087,2736,lcv,pedestrian,ped_veh,agent_a_first,0.9693,0.4502,1.4372,0.0,1.5098,0.45,0.18953,0.012712,1087,2736,pedestrian,Unclear Advantage
1087,2780,lcv,lcv,veh_veh,unresolved_conflict_zone,1.033,0.1001,0.0116,0.2001,0.4707,2.4,2e-05,1e-06,1087,2780,lcv,Chaotic Negotiation
1087,2790,lcv,pedestrian,ped_veh,agent_a_first,-0.8846,1.1506,0.4227,0.1501,0.4276,0.3,0.27343,0.018339,1087,2790,pedestrian,Unclear Advantage
1087,3173,lcv,pedestrian,ped_veh,agent_a_first,5.3823,3.602,5.5673,1.851,2.4613,1.5,0.0,0.0,1087,3173,pedestrian,Unclear Advantage
1094,2725,cyclist,pedestrian,ped_veh,agent_a_first,7.5061,2.6515,87.6284,0.4002,1.0936,0.9,0.0,0.0,1094,2725,pedestrian,Proactive Yielding
1094,3173,cyclist,pedestrian,ped_veh,agent_a_first,0.204,2.6515,1.6718,0.05,1.9308,,0.0,0.0,1094,3173,pedestrian,Unclear Advantage
1098,1100,cyclist,cyclist,cyc_veh,agent_a_first,-0.7446,0.0,0.1903,0.0,0.2628,0.05,0.84779,0.149922,1098,1100,cyclist,Chaotic Negotiation
1098,2725,cyclist,pedestrian,ped_veh,agent_a_first,3.7904,2.7515,2.9908,0.0,1.2564,0.2,0.00115,0.000252,1098,2725,pedestrian,Unclear Advantage
1098,2736,cyclist,pedestrian,ped_veh,agent_a_first,5.1311,0.2001,1.583,0.0,0.8449,1.15,0.0,0.0,1098,2736,pedestrian,Unclear Advantage
1098,2790,cyclist,pedestrian,ped_veh,unresolved_conflict_zone,-0.2872,1.4508,0.0396,0.6003,0.524,0.45,0.00596,0.001303,1098,2790,pedestrian,Unknown
1098,3173,cyclist,pedestrian,ped_veh,agent_a_first,-1.7932,0.6003,1.7234,1.4008,1.2693,1.55,0.0,0.0,1098,3173,pedestrian,Unclear Advantage
1100,2725,cyclist,pedestrian,ped_veh,agent_a_first,5.7546,2.5014,3.5131,0.2001,2.5385,4.1,3e-05,6e-06,1100,2725,pedestrian,Unclear Advantage
1100,2736,cyclist,pedestrian,ped_veh,agent_a_first,-1.9053,1.751,2.3724,0.0,1.8015,1.8,0.0,0.0,1100,2736,pedestrian,Unclear Advantage
1100,2790,cyclist,pedestrian,ped_veh,agent_a_first,-1.6281,0.2501,1.1104,0.0,0.872,,0.0,1e-06,1100,2790,pedestrian,Unclear Advantage
1100,3173,cyclist,pedestrian,ped_veh,agent_b_first,0.1397,0.6003,0.4625,1.6009,2.1334,3.15,0.0,0.0,1100,3173,pedestrian,Unclear Advantage
1110,2803,pedestrian,car,ped_veh,agent_b_first,-3.7848,0.5503,3.1407,0.1001,1.9518,0.65,0.0,0.0,1110,2803,car,Unclear Advantage
1120,2803,pedestrian,car,ped_veh,unresolved_conflict_zone,11.4216,0.5003,0.0629,0.0,1.005,,0.0,0.0,1120,2803,car,Unknown
