agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
837,865,car,lcv,veh_veh,agent_b_first,1.3115,2.4013,4.7302,0.0,0.7849,0.35,0.26462,0.012612,837,865,lcv
837,868,car,pedestrian,ped_veh,agent_a_first,1.0844,0.2501,6.4285,0.7504,3.498,,0.0,0.0,837,868,pedestrian
837,871,car,pedestrian,ped_veh,agent_b_first,-8.6974,0.05,1.521,0.7504,2.3781,1.2,2e-05,1e-06,837,871,pedestrian
837,877,car,pedestrian,ped_veh,agent_b_first,16.9544,0.1001,3.8155,0.3002,2.084,0.95,0.00014,1.3e-05,837,877,pedestrian
837,888,car,cyclist,cyc_veh,agent_b_first,-5.008,0.2001,1.9697,0.0,2.1156,,0.0,0.0,837,888,cyclist
837,889,car,cyclist,cyc_veh,agent_b_first,-2.5293,0.3502,0.9986,0.0,1.0647,,0.0,0.0,837,889,cyclist
837,891,car,pedestrian,ped_veh,agent_b_first,8.6455,1.2507,3.0582,0.6003,6.1782,2.4,0.0,0.0,837,891,pedestrian
837,1881,car,pedestrian,ped_veh,agent_b_first,1.1481,0.1001,2.7492,1.6509,1.5255,1.1,1e-05,1e-06,837,1881,pedestrian
837,1898,car,pedestrian,ped_veh,agent_b_first,0.1317,0.4002,5.3716,1.2507,0.4113,0.25,0.02133,0.002069,837,1898,pedestrian
843,849,pedestrian,lcv,ped_veh,agent_b_first,4.429,0.1001,1.8946,0.1501,2.8235,2.9,0.0016,0.000107,843,849,lcv
843,851,pedestrian,lcv,ped_veh,agent_b_first,-6.7909,2.7015,9.9335,0.7504,1.0607,1.9,0.0,0.0,843,851,lcv
843,865,pedestrian,lcv,ped_veh,agent_b_first,-5.4364,1.3007,4.0598,0.0,1.5197,1.4,0.0,0.0,843,865,lcv
849,851,lcv,lcv,veh_veh,agent_b_first,-3.2582,0.9005,2.502,0.0,2.02,0.45,0.00651,0.000256,849,851,lcv
849,856,lcv,pedestrian,ped_veh,agent_b_first,-2.2421,1.6509,1.0419,1.0006,1.9126,0.95,0.01511,0.001014,849,856,pedestrian
849,858,lcv,lcv,veh_veh,agent_b_first,-9.0203,1.0006,10.517,0.0,3.6519,0.65,0.0009,3.5e-05,849,858,lcv
849,865,lcv,lcv,veh_veh,agent_b_first,-2.2226,0.7004,4.5667,1.1006,1.355,0.55,0.03636,0.001429,849,865,lcv
849,868,lcv,pedestrian,ped_veh,agent_b_first,-2.2816,0.0,2.0738,1.801,1.3263,0.7,0.00033,2.2e-05,849,868,pedestrian
849,873,lcv,lcv,veh_veh,unresolved_conflict_zone,2.3586,0.0,0.0777,1.6009,0.4889,0.75,0.04014,0.001578,849,873,lcv
849,876,lcv,motorcycle,veh_veh,agent_b_first,-14.1444,0.7504,23.4588,0.0,5.5976,1.05,1e-05,1e-06,849,876,motorcycle
849,884,lcv,lcv,veh_veh,unresolved_conflict_zone,-3.0709,1.9511,0.7128,0.0,2.5116,1.3,0.00767,0.000301,849,884,lcv
849,887,lcv,motorcycle,veh_veh,agent_a_first,2.7509,0.0,0.8485,0.9005,1.7699,,0.00024,1.5e-05,849,887,motorcycle
849,888,lcv,cyclist,cyc_veh,unresolved_conflict_zone,-2.529,0.0,0.5435,0.0,1.7528,0.25,0.29357,0.018727,849,888,cyclist
849,889,lcv,cyclist,cyc_veh,agent_b_first,-8.2352,1.7009,1.4108,0.5503,1.8079,4.1,0.02913,0.001858,849,889,cyclist
849,892,lcv,lcv,veh_veh,agent_a_first,-1.0334,3.0017,0.7423,0.0,1.08,1.55,0.0087,0.000342,849,892,lcv
849,897,lcv,lcv,veh_veh,agent_b_first,-0.1136,1.0506,0.4278,0.4002,1.4543,0.95,0.00836,0.000329,849,897,lcv
849,900,lcv,pedestrian,ped_veh,agent_b_first,-0.0539,0.0,1.0582,0.0,0.0777,,0.9953,0.066753,849,900,pedestrian
849,902,lcv,cyclist,cyc_veh,agent_b_first,-1.1809,0.8505,0.3328,0.0,0.5478,0.1,0.13326,0.0085,849,902,cyclist
849,903,lcv,lcv,veh_veh,agent_b_first,-2.4322,0.7004,3.4137,0.7504,0.9889,,0.00944,0.000371,849,903,lcv
849,1541,lcv,pedestrian,ped_veh,agent_b_first,-2.5247,0.5003,0.7954,0.0,0.9371,0.2,0.12143,0.008144,849,1541,pedestrian
849,1549,lcv,pedestrian,ped_veh,agent_b_first,2.5641,0.8004,0.2029,0.4502,0.7229,0.45,0.0084,0.000563,849,1549,pedestrian
849,1881,lcv,pedestrian,ped_veh,agent_b_first,7.4736,0.1501,0.1049,0.5003,1.6252,1.6,0.0054,0.000362,849,1881,pedestrian
849,1898,lcv,pedestrian,ped_veh,agent_b_first,2.0525,3.0517,13.304,1.751,1.4833,0.6,0.0,0.0,849,1898,pedestrian
