case,agent_a,agent_b,cls_a,cls_b,pair_type,model_outcome,model_pattern,NM,SDD,min_dist_m,dur_s
0,1087,1100,lcv,cyclist,cyc_veh,agent_a_first,Unclear Advantage,-0.5339,2.1012,5.51,2.5
1,404,3070,cyclist,pedestrian,ped_veh,agent_a_first,Unclear Advantage,1.7287,1.4008,0.27,1.1
2,103,1417,cyclist,pedestrian,ped_veh,agent_a_first,Unclear Advantage,3.0386,1.901,5.34,2.1
3,497,1953,lcv,pedestrian,ped_veh,agent_a_first,Unclear Advantage,0.8248,1.1006,8.24,1.4
4,1040,1060,pedestrian,lcv,ped_veh,agent_b_first,Unclear Advantage,-0.0128,2.5014,8.98,3.2
5,356,3072,pedestrian,lcv,ped_veh,agent_b_first,Insufficient Yield,9.0018,2.4513,7.98,2.1
6,482,1949,pedestrian,cyclist,ped_veh,agent_b_first,Insufficient Yield,8.822,1.5509,6.82,1.7
7,1348,1354,car,pedestrian,ped_veh,agent_a_first,Gap-Driven Crossing,-17.786,0.9505,8.1,1.1
